Tâche,Échéances,Durée Estimée,Jour,Phase,Sous-élément,État,Personne,élément parent
Recueil des besoins,18 novembre 2024,2,18-11-2024,Phase d'Initialisation,,Terminé,Chef de Projet,
"Constituer l’équipe ",20 novembre 2024,1,20-11-2024,Phase d'Initialisation,,Terminé,Chef de Projet,
Étude de faisabilité/rentabilité,21 novembre 2024,2,21-11-2024,Phase d'Initialisation,,Terminé,Toute l'équipe,
"Élaborer le cahier des charges ",25 novembre 2024,3,25-11-2024,Phase d'Initialisation,,Terminé,Chef de Projet,
Réunion validation CDC + synthèse,28 novembre 2024,0.5,28-11-2024,Phase d'Initialisation,,Terminé,Toute l'équipe,
Création des wireframes,28 novembre 2024,2.5,28-11-2024,Phase de Lancement,,Terminé,UX Designer,
Mise en place du système de veille,28 novembre 2024,2,28-11-2024,Phase de Lancement,,Terminé,Développeur spécialisé WordPress,
Traduction des besoins en spécifications techniques,2 décembre 2024,3,2-12-2024,Phase de Lancement,,Terminé,Toute l'équipe,
Réunion d’équipe pour synthèse,5 décembre 2024,0.5,5-12-2024,Phase de Lancement,,En cours,Toute l'équipe,
Réalisation des maquettes,6 décembre 2024,5,6-12-2024,Phase de Conception,,Pas commencé,Graphiste,
Réalisation des photos,6 décembre 2024,1,6-12-2024,Phase de Conception,,Pas commencé,Photographe Freelance,
Mise en place environnement WordPress,6 décembre 2024,1,6-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé WordPress,
Installation des plugins,9 décembre 2024,1,9-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé WordPress,
Mise en place système de sauvegarde,10 décembre 2024,1,10-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé WordPress,
Création des pages avec builder (Elementor),11 décembre 2024,3,11-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé WordPress,
Création des fiches produits,6 décembre 2024,3,6-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé E-commerce,
Mise en place système de facturation,16 décembre 2024,3,16-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé E-commerce,
"Mise en place système de paiement ",19 décembre 2024,3,19-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé E-commerce,
Mise en place système contact (chat et formulaire),16 décembre 2024,1,16-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé WordPress,
"Customisation des produits ",11 décembre 2024,3,11-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé E-commerce,
Gestion des comptes clients,24 décembre 2024,2,24-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé E-commerce,
Traduction multi-langues,26 décembre 2024,2,26-12-2024,Phase de Conception,,Pas commencé,"Développeur spécialisé WordPress, Traducteur Freelance",
Gestion des stocks,27 décembre 2024,1,27-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé E-commerce,
Gestion responsive,30 décembre 2024,2,30-12-2024,Phase de Conception,,Pas commencé,Développeur spécialisé WordPress,
Mise en place des tests fonctionnels,2 janvier 2025,3,2-01-2025,Phase de Conception,,Pas commencé,"Développeur spécialisé E-commerce, Développeur spécialisé WordPress",
Hébergement et nom de domaine,7 janvier 2025,1,7-01-2025,Phase de Production,,Pas commencé,Développeur spécialisé WordPress,
Mise en ligne,8 janvier 2025,2,8-01-2025,Phase de Production,,Pas commencé,Développeur spécialisé WordPress,
Création des E-mails,10 janvier 2025,0.5,10-01-2025,Phase de Production,,Pas commencé,Développeur spécialisé WordPress,
Référencement,10 janvier 2025,3.5,10-01-2025,Phase de Production,,Pas commencé,Développeur spécialisé WordPress,
Tester et valider,15 janvier 2025,3,15-01-2025,Phase de Production,,Pas commencé,"Développeur spécialisé E-commerce, Développeur spécialisé WordPress",
Livraison du site,20 janvier 2025,1,20-01-2025,Phase d'Exploitation,,Pas commencé,Chef de Projet,
"Formation ",21 janvier 2025,1,21-01-2025,Phase d'Exploitation,,Pas commencé,"Chef de Projet, Développeur spécialisé E-commerce, Développeur spécialisé WordPress",
Suivi du site,,,,Phase d'Exploitation,,Pas commencé,Toute l'équipe,
